title,year,Domestic Gross (in millions),Foreign Gross (in millions),Total Gross (in millions)
Marvel's The Avengers,2012,623.4,895.5,1518.9
Avengers: Age of Ultron,2015,459.0,946.4,1405.4
Black Panther,2018,700.1,646.9,1347.0
Harry Potter and the Deathly Hallows Part 2,2011,381.0,960.5,1341.5
Star Wars: The Last Jedi,2017,620.2,712.4,1332.6
Jurassic World: Fallen Kingdom,2018,417.7,891.8,1309.5
Frozen,2013,400.7,875.7,1276.4
Beauty and the Beast (2017),2017,504.0,759.5,1263.5
Incredibles 2,2018,608.6,634.2,1242.8
Iron Man 3,2013,409.0,805.8,1214.8
Minions,2015,336.0,823.4,1159.4
Captain America: Civil War,2016,408.1,745.2,1153.3
Aquaman,2018,335.1,812.7,1147.8
Transformers: Dark of the Moon,2011,352.4,771.4,1123.8
Skyfall,2012,304.4,804.2,1108.6
Transformers: Age of Extinction,2014,245.4,858.6,1104.0
The Dark Knight Rises,2012,448.1,636.8,1084.9
Toy Story 3,2010,415.0,652.0,1067.0
Rogue One: A Star Wars Story,2016,532.2,523.9,1056.1
Pirates of the Caribbean: On Stranger Tides,2011,241.1,804.6,1045.7
Despicable Me 3,2017,264.6,770.2,1034.8
Finding Dory,2016,486.3,542.3,1028.6
Alice in Wonderland (2010),2010,334.2,691.3,1025.5
Zootopia,2016,341.3,682.5,1023.8
The Hobbit: An Unexpected Journey,2012,303.0,718.1,1021.1
Despicable Me 2,2013,368.1,602.7,970.8
The Jungle Book (2016),2016,364.0,602.5,966.5
Jumanji: Welcome to the Jungle,2017,404.5,557.6,962.1
Harry Potter and the Deathly Hallows Part 1,2010,296.0,664.3,960.3
The Hobbit: The Desolation of Smaug,2013,258.399999,700.0,958.399999
The Hobbit: The Battle of the Five Armies,2014,255.1,700.9,956.0
Star Wars: The Force Awakens,2015,936.7,0.0011316,936.7011316
Bohemian Rhapsody,2018,216.4,687.2,903.6
Spectre,2015,200.1,680.6,880.7
Spider-Man: Homecoming,2017,334.2,546.0,880.2
Ice Age: Continental Drift,2012,161.3,715.9,877.2
The Secret Life of Pets,2016,368.4,507.1,875.5
Batman v Superman: Dawn of Justice,2016,330.4,543.3,873.7
Wolf Warrior 2,2017,2.7,867.6,870.3
The Hunger Games: Catching Fire,2013,424.7,440.3,865.0
Guardians of the Galaxy Vol. 2,2017,389.8,473.9,863.7
Inside Out,2015,356.5,501.1,857.6
Venom (2018),2018,213.5,641.5,855.0
Thor: Ragnarok,2017,315.1,538.9,854.0
The Twilight Saga: Breaking Dawn Part 2,2012,292.3,537.4,829.7
Inception,2010,292.6,535.7,828.3
Wonder Woman,2017,412.6,409.3,821.9
Fantastic Beasts and Where To Find Them,2016,234.0,580.0,814.0
Coco,2017,209.7,597.4,807.1
Pirates of the Caribbean: Dead Men Tell No Tales,2017,172.6,622.3,794.9
Mission: Impossible - Fallout,2018,220.2,571.0,791.2
Fast & Furious 6,2013,238.7,550.0,788.7
Deadpool,2016,363.1,420.0,783.1
Deadpool 2,2018,318.5,460.5,779.0
Guardians of the Galaxy,2014,333.2,440.2,773.4
Maleficent,2014,241.4,517.1,758.5
The Amazing Spider-Man,2012,262.0,495.9,757.9
The Hunger Games: Mockingjay - Part 1,2014,337.1,418.2,755.3
Shrek Forever After,2010,238.7,513.9,752.6
X-Men: Days of Future Past,2014,233.9,513.9,747.8
Madagascar 3: Europe's Most Wanted,2012,216.4,530.5,746.9
Suicide Squad,2016,325.1,421.7,746.8
Monsters University,2013,268.5,475.7,744.2
Gravity,2013,274.1,449.1,723.2
Captain America: The Winter Soldier,2014,259.8,454.5,714.3
The Twilight Saga: Breaking Dawn Part 1,2011,281.3,430.9,712.2
Dawn of the Planet of the Apes,2014,208.5,502.1,710.6
The Amazing Spider-Man 2,2014,202.9,506.1,709.0
It,2017,327.5,372.9,700.4
The Twilight Saga: Eclipse,2010,300.5,398.0,698.5
Mission: Impossible - Ghost Protocol,2011,209.4,485.3,694.7
The Hunger Games,2012,408.0,286.4,694.4
Mission: Impossible - Rogue Nation,2015,195.0,487.7,682.7
Avengers: Infinity War,2018,678.8,0.0013695,678.8013695
Doctor Strange,2016,232.6,445.1,677.7
Interstellar,2014,188.0,489.4,677.4
Man of Steel,2013,291.0,377.0,668.0
Kung Fu Panda 2,2011,165.2,500.4,665.6
Justice League,2017,229.0,428.9,657.9
Big Hero 6,2014,222.5,435.3,657.8
Fantastic Beasts: The Crimes of Grindelwald,2018,159.6,494.1,653.7
The Hunger Games: Mockingjay - Part 2,2015,281.7,371.7,653.4
Jurassic World,2015,652.3,0.0010194,652.3010194
Thor: The Dark World,2013,206.4,438.2,644.6
Moana,2016,248.8,394.6,643.4
Sing,2016,270.4,363.8,634.2
The Martian,2015,228.4,401.7,630.1
Fast Five,2011,209.8,416.3,626.1
MIB 3,2012,179.0,445.0,624.0
Iron Man 2,2010,312.4,311.5,623.9
Ant-Man and the Wasp,2018,216.6,406.0,622.6
How to Train Your Dragon 2,2014,177.0,444.5,621.5
Logan (2017),2017,226.3,392.7,619.0
