id,release_date,movie,production_budget,domestic_gross,profit,profitable,unprofitable,domestic_profit_margin
80,2015-07-10,The Gallows,100000,22764410,22664410,True,False,99.56071780467845
12,2012-01-06,The Devil Inside,1000000,53262945,52262945,True,False,98.12252213992298
90,2014-03-21,Godâs Not Dead,1150000,60755732,59605732,True,False,98.10717448026138
49,2017-02-24,Get Out,5000000,176040665,171040665,True,False,97.15974715273883
14,2015-04-17,Unfriended,1000000,32789645,31789645,True,False,96.95025670451753
50,2017-01-20,Split,5000000,138141585,133141585,True,False,96.38052509676938
66,2015-08-28,War Room,3000000,67790117,64790117,True,False,95.57457615835064
67,2013-06-07,The Purge,3000000,64473115,61473115,True,False,95.34689769526415
64,2016-10-21,Moonlight,1500000,27854931,26354931,True,False,94.61495704297383
17,2013-08-23,You're Next,1000000,18494006,17494006,True,False,94.5928426756215
18,2012-05-25,Chernobyl Diaries,1000000,18119640,17119640,True,False,94.48112655659826
38,2013-07-12,Fruitvale Station,900000,16098998,15198998,True,False,94.40958996330082
53,2013-09-13,Insidious Chapter 2,5000000,83586447,78586447,True,False,94.01816899813915
88,2012-06-29,Magic Mike,7000000,113721571,106721571,True,False,93.84461545998164
69,2012-10-12,Sinister,3000000,48086903,45086903,True,False,93.76129504534738
12,2013-01-11,A Haunted House,2500000,40041683,37541683,True,False,93.75650618881329
86,2017-07-07,A Ghost Story,100000,1594798,1494798,True,False,93.72961340558491
36,2018-10-19,Halloween,10000000,159342015,149342015,True,False,93.72419132518188
72,2017-04-28,Sleight,250000,3930990,3680990,True,False,93.64027891192805
22,2016-03-11,"Hello, My Name is Doris",1000000,14444999,13444999,True,False,93.07718885961847
54,2016-03-11,10 Cloverfield Lane,5000000,72082999,67082999,True,False,93.06355164273896
55,2016-07-22,Lights Out,5000000,67268835,62268835,True,False,92.56713751620643
13,2012-07-13,2016: Obamaâs America,2500000,33349941,30849941,True,False,92.50373486417863
73,2012-06-15,Your Sister's Sister,120000,1597486,1477486,True,False,92.48819707966142
56,2015-09-11,The Visit,5000000,65206105,60206105,True,False,92.3320063359098
84,2014-10-03,Annabelle,6500000,84273813,77773813,True,False,92.2870465111149
14,2013-07-03,Kevin Hart: Let Me Explain,2500000,32244051,29744051,True,False,92.24663178953539
90,2018-03-16,I Can Only Imagine,7000000,83482352,76482352,True,False,91.61499426848923
91,2018-04-13,Truth or Dare,3500000,41411015,37911015,True,False,91.54814244470946
58,2017-10-13,Happy Death Day,5000000,55683845,50683845,True,False,91.020735008511
