id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,domestic_profit_margin,worldwide_profit_margin,Distributor,genre1,genre2,genre3,release_month,budget_tier
80,2015-07-10,The Gallows,100000,22764410,41656474,22664410,99.56071780467845,99.75994127587468,Warner Bros.,Horror,Mystery,Thriller,Jul,low_tier
12,2012-01-06,The Devil Inside,1000000,53262945,101759490,52262945,98.12252213992298,99.01729067234909,Paramount Pictures,Horror,,,Jan,low_tier
14,2015-04-17,Unfriended,1000000,32789645,64364198,31789645,96.95025670451753,98.4463412408246,Universal Pictures,Horror,Mystery,Thriller,Apr,low_tier
50,2017-01-20,Split,5000000,138141585,278964806,133141585,96.38052509676938,98.20765921275388,Universal Pictures,Action,Drama,Sport,Jan,low_tier
49,2017-02-24,Get Out,5000000,176040665,255367951,171040665,97.15974715273883,98.0420409137402,Universal Pictures,Horror,Mystery,Thriller,Feb,low_tier
64,2016-10-21,Moonlight,1500000,27854931,65245512,26354931,94.61495704297383,97.70099129576913,A24,Drama,,,Oct,low_tier
18,2012-05-25,Chernobyl Diaries,1000000,18119640,42411721,17119640,94.48112655659826,97.64216123179722,Warner Bros.,Horror,Mystery,Thriller,May,low_tier
84,2014-10-03,Annabelle,6500000,84273813,256862920,77773813,92.2870465111149,97.4694673719352,Warner Bros.,Horror,Mystery,Thriller,Oct,mid_tier
53,2013-09-13,Insidious Chapter 2,5000000,83586447,161921515,78586447,94.01816899813915,96.91208422796687,FilmDistrict,Horror,Mystery,Thriller,Sep,low_tier
56,2016-12-21,Dangal,9500000,12391761,294654618,2891761,23.33615859763596,96.77588626830888,UTV Motion Pictures,Action,,,Dec,mid_tier
67,2013-06-07,The Purge,3000000,64473115,91266581,61473115,95.34689769526415,96.71292605997807,Universal Pictures,Horror,Thriller,,Jun,low_tier
55,2016-07-22,Lights Out,5000000,67268835,148806510,62268835,92.56713751620643,96.63993194921379,Warner Bros.,Documentary,,,Jul,low_tier
69,2012-10-12,Sinister,3000000,48086903,87727807,45086903,93.76129504534738,96.58033170714047,Lionsgate,Drama,,,Oct,low_tier
59,2012-10-19,Paranormal Activity 4,5000000,53900335,142817992,48900335,90.72361980681566,96.49904054105451,Paramount Pictures,Horror,Mystery,Thriller,Oct,low_tier
91,2018-04-13,Truth or Dare,3500000,41411015,95127344,37911015,91.54814244470946,96.32072141108029,Universal Pictures,Horror,Thriller,,Apr,low_tier
17,2013-08-23,Youre Next,1000000,18494006,26887177,17494006,94.5928426756215,96.28075494872519,Lionsgate,Action,Comedy,Horror,Aug,low_tier
73,2012-06-15,Your Sisters Sister,120000,1597486,3090593,1477486,92.48819707966142,96.1172499905358,IFC Films,Comedy,Drama,,Jun,low_tier
43,2014-06-06,The Fault in Our Stars,12000000,124872350,307166834,112872350,90.39018645841132,96.09332822696607,Twentieth Century Fox,Drama,Romance,,Jun,mid_tier
36,2018-10-19,Halloween,10000000,159342015,254900667,149342015,93.72419132518188,96.07690316479243,Universal Pictures,Horror,Thriller,,Oct,mid_tier
58,2017-10-13,Happy Death Day,5000000,55683845,125010260,50683845,91.020735008511,96.0003282930537,Universal Pictures,Horror,Mystery,Thriller,Oct,low_tier
66,2015-08-28,War Room,3000000,67790117,73975239,64790117,95.57457615835064,95.94458897253445,TriStar Pictures,Drama,,,Aug,low_tier
88,2012-06-29,Magic Mike,7000000,113721571,170549753,106721571,93.84461545998164,95.89562583535375,Warner Bros.,Comedy,Drama,,Jun,mid_tier
12,2013-01-11,A Haunted House,2500000,40041683,59922558,37541683,93.75650618881329,95.82794846641895,Open Road Films (II),Comedy,Fantasy,,Jan,low_tier
54,2016-03-11,10 Cloverfield Lane,5000000,72082999,108286422,67082999,93.06355164273896,95.38261592944681,Paramount Pictures,Drama,Horror,Mystery,Mar,low_tier
92,2016-12-09,La La Land,20000000,151101803,426351163,131101803,86.76389056720917,95.30903120815458,Lionsgate,Comedy,Drama,Music,Dec,mid_tier
60,2014-10-24,Ouija,5000000,50856010,103300632,45856010,90.16832032241618,95.15975855791473,Universal Pictures,Horror,Mystery,Thriller,Oct,low_tier
2,2017-08-11,Annabelle Creation,15000000,102092201,305384865,87092201,85.3073987502728,95.08816522390525,Warner Bros.,Horror,Mystery,Thriller,Aug,mid_tier
24,2017-09-08,It,35000000,327481748,697457969,292481748,89.31238146438622,94.98177645741403,Warner Bros.,Horror,Thriller,,Sep,mid_tier
56,2015-09-11,The Visit,5000000,65206105,98677816,60206105,92.3320063359098,94.9330050028671,Universal Pictures,Documentary,Drama,,Sep,low_tier
66,2018-04-06,A Quiet Place,17000000,188024361,334522294,171024361,90.95861838881612,94.91812644331561,Paramount Pictures,Documentary,,,Apr,mid_tier
38,2013-07-12,Fruitvale Station,900000,16098998,17549645,15198998,94.40958996330082,94.87169113677228,The Weinstein Company,Biography,Drama,Romance,Jul,low_tier
70,2014-01-03,Paranormal Activity The Marked Ones,5000000,32462372,90904854,27462372,84.59755189793277,94.4997436550528,Paramount Pictures,Horror,Mystery,Thriller,Jan,low_tier
45,2018-01-05,Insidious The Last Key,10000000,67745330,167885588,57745330,85.23883491304862,94.04356257191057,Universal Pictures,Horror,Mystery,Thriller,Jan,mid_tier
29,2018-07-20,Unfriended Dark Web,1000000,8866745,16434588,7866745,88.72190414859116,93.91527186443615,BH Tilt,Crime,Horror,Mystery,Jul,low_tier
84,2018-11-02,Bohemian Rhapsody,55000000,216303339,894985342,161303339,74.57274573093852,93.85464795690474,Twentieth Century Fox,Biography,Drama,Music,Nov,high_tier
93,2013-07-19,The Conjuring,20000000,137400141,318000141,117400141,85.44397418049229,93.71069461255365,Warner Bros.,Horror,Mystery,Thriller,Jul,mid_tier
72,2017-04-28,Sleight,250000,3930990,3934450,3680990,93.64027891192805,93.64587172285835,BH Tilt,Action,Drama,Sci-Fi,Apr,low_tier
73,2015-07-10,Minions,74000000,336045770,1160336173,262045770,77.97919015615045,93.62253787118641,Universal Pictures,Adventure,Animation,Comedy,Jul,high_tier
95,2017-11-17,Wonder,20000000,132422809,304604712,112422809,84.8968616879287,93.43411338955255,Lionsgate,Drama,Family,,Nov,mid_tier
6,2014-11-28,The Imitation Game,15000000,91125143,227740463,76125143,83.53912048181917,93.41355514852009,The Weinstein Company,Biography,Drama,Thriller,Nov,mid_tier
64,2014-05-09,Neighbors,18000000,150086800,270944428,132086800,88.00693998406256,93.35657125969757,Universal Pictures,Documentary,Drama,,May,mid_tier
36,2019-01-16,Dragon Ball Super Broly,8500000,30376755,122747755,21876755,72.01807763864178,93.07522976693137,FUNimation Entertainment,Action,Adventure,Animation,Jan,mid_tier
85,2014-07-11,Boyhood,4000000,25379975,57273049,21379975,84.23954318315916,93.01591224870882,IFC Films,Drama,,,Jul,low_tier
78,2015-02-13,Fifty Shades of Grey,40000000,166167230,570998101,126167230,75.92786495869251,92.99472276178375,Universal Pictures,Drama,Romance,Thriller,Feb,mid_tier
71,2018-11-16,Green Book,23000000,85080171,322034439,62080171,72.96667398564584,92.85790672841671,Universal Pictures,Biography,Comedy,Drama,Nov,mid_tier
56,2016-02-12,Deadpool,58000000,363070709,801025593,305070709,84.02515031858437,92.75928253643202,Twentieth Century Fox,Action,Adventure,Comedy,Feb,high_tier
30,2017-06-30,Despicable Me 3,75000000,264624300,1034727750,189624300,71.65793164119847,92.75171657472218,Universal Pictures,Adventure,Animation,Comedy,Jun,high_tier
55,2012-05-04,The Best Exotic Marigold Hotel,10000000,46383639,134639780,36383639,78.44067387640715,92.57277455444446,Fox Searchlight Pictures,Comedy,Drama,Romance,May,mid_tier
81,2015-01-23,The Boy Next Door,4000000,36006065,53401938,32006065,88.89076048715681,92.50963513721169,Universal Pictures,Horror,Thriller,,Jan,low_tier
59,2017-11-10,Three Billboards Outside Ebbing Missouri,12000000,54513740,160191915,42513740,77.98720102491592,92.50898523811267,Fox Searchlight Pictures,Crime,Drama,,Nov,mid_tier
31,2015-09-25,The Green Inferno,1000000,7192291,12931420,6192291,86.09622441583635,92.26689721623767,BH Tilt,Adventure,Horror,,Sep,low_tier
14,2013-07-03,Kevin Hart Let Me Explain,2500000,32244051,32327255,29744051,92.24663178953539,92.26658743527713,Lionsgate,Comedy,Documentary,,Jul,low_tier
18,2012-06-27,Beasts of the Southern Wild,1800000,12795746,23265132,10995746,85.93282486226282,92.26309999014835,Fox Searchlight Pictures,Adventure,Drama,Fantasy,Jun,low_tier
22,2013-07-03,Despicable Me 2,76000000,368065385,975216835,292065385,79.3514948437762,92.2068613591971,Universal Pictures,Adventure,Animation,Comedy,Jul,high_tier
88,2019-03-22,Us,20000000,175006930,254210310,155006930,88.57188112493603,92.13249848127718,Universal Pictures,Horror,Mystery,Thriller,Mar,mid_tier
95,2018-02-02,Winchester,3500000,25091816,44378040,21591816,86.05122881500486,92.11321635655834,Lionsgate,Biography,Drama,Fantasy,Feb,low_tier
60,2016-11-25,Lion,12000000,51739495,149570720,39739495,76.80688611282348,91.977039356366,The Weinstein Company,Biography,Drama,,Nov,mid_tier
71,2014-07-18,The Purge Anarchy,9000000,71562550,111534881,62562550,87.42358957303786,91.93077544952058,Universal Pictures,Action,Horror,Sci-Fi,Jul,mid_tier
100,2019-01-18,Glass,20000000,111035005,245303505,91035005,81.9876623592713,91.84683480164705,Universal Pictures,Drama,Sci-Fi,,Jan,mid_tier
90,2018-03-16,I Can Only Imagine,7000000,83482352,85604221,76482352,91.61499426848923,91.82283312875424,Roadside Attractions,Biography,Drama,Family,Mar,mid_tier
73,2013-11-01,Dallas Buyers Club,5000000,27298285,60611845,22298285,81.68383105385558,91.75078732548069,Focus Features,Biography,Drama,,Nov,low_tier
51,2015-06-05,Insidious Chapter 3,10000000,52218558,120453155,42218558,80.84972013206493,91.69801737447226,Focus Features,Horror,Mystery,Thriller,Jun,mid_tier
42,2016-07-01,The Purge Election Year,10000000,79042440,118514727,69042440,87.3485686929705,91.56223006782946,Universal Pictures,Action,Horror,Sci-Fi,Jul,mid_tier
26,2016-07-08,The Secret Life of Pets,75000000,368384330,886750534,293384330,79.64082782782862,91.54215338764035,Universal Pictures,Adventure,Animation,Comedy,Jul,high_tier
43,2014-10-10,Whiplash,3300000,13092006,38969037,9792006,74.79377873795659,91.53173839014805,Sony Pictures Classics,Drama,Music,,Oct,low_tier
63,2015-08-07,The Gift,5000000,43787265,58978477,38787265,88.58115481750231,91.52233110393814,STX Entertainment,Romance,,,Aug,low_tier
94,2015-03-13,It Follows,2000000,14674077,23250755,12674077,86.37052265706389,91.39812879194676,RADiUS-TWC,Horror,Mystery,,Mar,low_tier
94,2016-02-19,The Witch,3500000,25138705,40454520,21638705,86.07724622250828,91.34830916298104,A24,Horror,,,Feb,low_tier
91,2019-03-15,Five Feet Apart,7000000,45729221,80504421,38729221,84.69250110339732,91.30482535859738,Lionsgate,Drama,Romance,,Mar,mid_tier
33,2012-10-19,The Sessions,1000000,6002451,11495204,5002451,83.34013888659815,91.30071984803402,Fox Searchlight Pictures,Biography,Comedy,Drama,Oct,low_tier
83,2014-07-25,Lucy,40000000,126573960,457507776,86573960,68.39792323792351,91.25697920378079,Universal Pictures,Action,Sci-Fi,Thriller,Jul,mid_tier
59,2012-11-16,Silver Linings Playbook,21000000,132092958,236412453,111092958,84.10210482227221,91.11721919318691,The Weinstein Company,Comedy,Drama,Romance,Nov,mid_tier
84,2012-06-29,Ted,50000000,218665740,556016627,168665740,77.13404944002659,91.00746316350717,Universal Pictures,Comedy,Fantasy,,Jun,high_tier
64,2017-06-23,The Big Sick,5000000,42872467,53972860,37872467,88.33750341448744,90.73608476556551,Lionsgate,Comedy,Drama,Romance,Jun,low_tier
38,2017-12-20,Jumanji Welcome to the Jungle,90000000,404508916,964496193,314508916,77.75079944096956,90.66870344816384,Sony Pictures Entertainment (SPE),Action,Adventure,Comedy,Dec,high_tier
49,2018-07-04,The First Purge,13000000,69488745,136617305,56488745,81.2919343988728,90.48436799423031,Universal Pictures,Action,Horror,Sci-Fi,Jul,mid_tier
20,2016-06-03,Me Before You,20000000,56245075,208265198,36245075,64.44133108543282,90.39685929667424,Warner Bros.,Drama,Romance,,Jun,mid_tier
55,2012-02-03,Chronicle,12000000,64575175,123681790,52575175,81.4170073871267,90.29768246400704,Twentieth Century Fox,Drama,Sci-Fi,Thriller,Feb,mid_tier
60,2014-09-19,The Maze Runner,34000000,102427862,348319861,68427862,66.80590677563883,90.23885692237343,Twentieth Century Fox,Action,Mystery,Sci-Fi,Sep,mid_tier
61,2017-10-27,Jigsaw,10000000,38052832,102445196,28052832,73.72074698671574,90.23868332488719,Lionsgate,Crime,Horror,Mystery,Oct,mid_tier
39,2016-04-01,Meet the Blacks,900000,9097072,9097072,8197072,90.10670686128461,90.10670686128461,Freestyle Releasing,Comedy,Horror,,Apr,low_tier
19,2017-12-01,The Shape of Water,19500000,63859435,195790794,44359435,69.46418332702129,90.04038974375884,Fox Searchlight Pictures,Adventure,Drama,Fantasy,Dec,mid_tier
14,2015-05-15,Pitch Perfect 2,29000000,184296230,287625468,155296230,84.26446379288389,89.91744361107827,Universal Pictures,Comedy,Music,,May,mid_tier
9,2013-01-18,Mama,15000000,71628180,148095566,56628180,79.05852138083084,89.87140506286326,Universal Pictures,Drama,,,Jan,mid_tier
32,2017-02-03,I Am Not Your Negro,1000000,7123919,9617402,6123919,85.96278256392303,89.6021815454943,Magnolia Pictures,Documentary,,,Feb,low_tier
25,2016-06-24,Hunt for the Wilderpeople,2500000,5205471,23845533,2705471,51.97360623082906,89.51585607249794,The Orchard,Adventure,Comedy,Drama,Jun,low_tier
70,2018-03-23,Unsane,1500000,7690044,14244931,6190044,80.49425985078888,89.4699384644264,Bleecker Street Media,Drama,Horror,Mystery,Mar,low_tier
45,2012-04-20,Think Like a Man,12000000,91547205,113373764,79547205,86.89200833602729,89.41554061837445,Screen Gems,Comedy,Romance,,Apr,mid_tier
57,2014-12-25,American Sniper,58000000,350126372,547326372,292126372,83.43455259634084,89.4030320906956,Warner Bros.,Action,Biography,Drama,Dec,high_tier
86,2015-07-17,Bajrangi Bhaijaan,13000000,8178001,121778347,-4821999,-58.963052217773026,89.32486741670094,Eros Worldwide,Action,Comedy,Drama,Jul,mid_tier
64,2016-12-25,Hidden Figures,25000000,169607287,231771716,144607287,85.26006727529342,89.21352422484546,Twentieth Century Fox,Biography,Drama,History,Dec,mid_tier
14,2012-07-13,Ice Age Continental Drift,95000000,161321843,879765137,66321843,41.11150837769688,89.2016634889682,Twentieth Century Fox,Adventure,Animation,Comedy,Jul,high_tier
30,2016-11-18,Manchester by the Sea,8500000,47695371,77733867,39195371,82.1785640371683,89.06525517378417,Roadside Attractions,Drama,,,Nov,mid_tier
62,2016-01-22,Dirty Grandpa,11500000,35593113,105078449,24093113,67.69037875388983,89.05579582736323,Lionsgate,Comedy,,,Jan,mid_tier
