id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,profit_margin,domestic_profit_margin,cost_revenue_ratio_in_%
93,2009-09-25,Paranormal Activity,450000,107918810,194183034,193733034,0.9976825987794588,0.9958301986465566,23981.957777777778
80,2015-07-10,The Gallows,100000,22764410,41656474,41556474,0.9975994127587469,0.9956071780467844,22764.41
10,2004-05-07,Super Size Me,65000,11529368,22233808,22168808,0.997076524183352,0.9943622234974198,17737.48923076923
8,2004-06-11,Napoleon Dynamite,400000,44540956,46122713,45722713,0.9913274832727208,0.9910195012428561,11135.239
81,2006-09-29,Facing the Giants,100000,10178331,10243159,10143159,0.9902373867280592,0.9901752065245274,10178.331
29,2008-09-26,Fireproof,500000,33456317,33473297,32973297,0.9850627202931339,0.9850551392133211,6691.2634
57,2007-05-16,Once,150000,9445857,23323631,23173631,0.9935687543676196,0.9841200221430412,6297.238
31,2004-08-06,Open Water,500000,30500882,55518641,55018641,0.9909940158657702,0.9836070314294518,6100.1764
12,2012-01-06,The Devil Inside,1000000,53262945,101759490,100759490,0.9901729067234908,0.9812252213992299,5326.2945
90,2014-03-21,Godâs Not Dead,1150000,60755732,63777092,62627092,0.9819684472286696,0.9810717448026138,5283.107130434782
48,2002-04-19,My Big Fat Greek Wedding,5000000,241438208,374890034,369890034,0.986662755617558,0.9792907674331314,4828.76416
17,2001-03-16,Gabriela,50000,2335352,2335352,2285352,0.9785899513221132,0.9785899513221133,4670.704
57,2004-10-29,Saw,1200000,55968727,103880027,102680027,0.9884482124749546,0.9785594551757448,4664.060583333333
63,2011-04-01,Insidious,1500000,54009150,99870886,98370886,0.9849806078620351,0.9722269282149414,3600.6100000000006
49,2017-02-24,Get Out,5000000,176040665,255367951,250367951,0.980420409137402,0.9715974715273883,3520.8133
14,2015-04-17,Unfriended,1000000,32789645,64364198,63364198,0.984463412408246,0.9695025670451753,3278.9645
65,2010-10-20,Paranormal Activity 2,3000000,84752907,177512032,174512032,0.9830997371490853,0.964602984060476,2825.0969
50,2017-01-20,Split,5000000,138141585,278964806,273964806,0.9820765921275388,0.9638052509676938,2762.8316999999997
