id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,profit_margin,domestic_profit_margin
8,2005-09-02,A Sound of Thunder,80000000,1900451,6300451,-73699549,-0.11697503718384604,-41.0952710698671
2,2015-04-17,Child 44,50000000,1224330,8004221,-41995779,-0.05246704082758335,-39.83866277882597
42,2019-06-14,Men in Black: International,110000000,3100000,3100000,-106900000,-0.34483870967741936,-34.483870967741936
21,2011-05-06,There Be Dragons,36000000,1069334,4020990,-31979010,-0.07953019032626293,-32.665814422808964
67,2010-05-28,Micmacs,42000000,1259693,11756922,-30243078,-0.025723635829173655,-32.34145700579427
68,2008-12-12,"Che, Part 1: The Argentine",58000000,1802521,31627370,-26372630,-0.008338546644883845,-31.17715632716623
19,2005-09-23,Oliver Twist,65000000,2070920,26670920,-38329080,-0.014371112807507202,-30.387016398508877
16,2008-10-17,What Just Happened,27000000,1090947,2412123,-24587877,-0.10193459040024079,-23.74913996738613
18,2006-12-15,The Good German,32000000,1308696,6678033,-25321967,-0.03791830169153103,-23.45182074370213
30,2016-11-11,Billy Lynnâs Long Halftime Walk,40000000,1738477,30230402,-9769598,-0.003231712896176504,-22.00864492311374
5,2002-08-16,The Adventures of Pluto Nash,100000000,4411102,7094995,-92905005,-0.13094442631742517,-21.670072013750758
13,2009-11-25,Me and Orson Welles,25000000,1190003,1190003,-23809997,-0.2000835039911664,-20.00835039911664
92,2008-05-23,The Children of Huang Shi,20000000,1031872,8221700,-11778300,-0.014325869345755742,-18.382248961111454
91,2012-08-29,The Oogieloves in the BIG Balloon Adventure,20000000,1065907,1065907,-18934093,-0.17763363032609786,-17.763363032609785
43,2013-03-01,Phantom,18000000,1034589,1199510,-16800490,-0.14006127502063342,-16.398213203504
90,2011-04-29,Dylan Dog: Dead of Night,20000000,1186538,6093725,-13906275,-0.02282064746932295,-15.855760203213045
89,2002-12-06,Equilibrium,20000000,1190018,5345869,-14654131,-0.027412065278816223,-15.806468473586113
12,2016-01-29,Jane Got a Gun,25000000,1513793,3771345,-21228655,-0.05628934769956077,-15.514807506706664
53,2001-04-27,Town & Country,105000000,6712451,10364769,-94635231,-0.09130471793437943,-14.642572288423409
11,2009-11-20,Bad Lieutenant: Port of Call New Orleans,25000000,1702112,12413949,-12586051,-0.010138635981185357,-13.687635126243162
23,2011-07-29,The Devil's Double,19100000,1361512,5965646,-13134354,-0.022016649999011,-13.028521232277056
70,2001-02-23,Monkeybone,75000000,5409517,5409517,-69590483,-0.12864454072332152,-12.864454072332151
50,2003-10-24,Beyond Borders,60000000,4426297,11427090,-48572910,-0.04250680619475299,-12.555348861587914
13,2017-02-24,Collide,29200000,2280004,5466698,-23733302,-0.043414327991046886,-11.806995075447237
7,2011-07-29,Attack the Block,13000000,1024175,6459183,-6540817,-0.010126384404962671,-11.69314326164962
49,2008-01-11,In the Name of the King: A Dungeon Siege Tale,60000000,4775656,13233220,-46766780,-0.03534043868385774,-11.563718994835474
87,2007-04-13,Slow Burn,15500000,1237615,1237615,-14262385,-0.11524088670547787,-11.524088670547787
37,2006-06-02,Banlieue 13,15000000,1200216,11599903,-3400097,-0.002931142613864961,-11.497750404927114
10,2016-06-10,Genius,17000000,1361045,7265283,-9734717,-0.01339895087362736,-11.490402595064822
24,2002-12-25,Pinocchio,45000000,3681811,31681811,-13318189,-0.0042037334923814805,-11.222246063146642
50,2010-10-08,Stone,22000000,1810078,4065020,-17934980,-0.044120274930996656,-11.154172361633034
88,2003-08-22,Marci X,20000000,1646664,1646664,-18353336,-0.11145768657115233,-11.145768657115234
82,2018-09-21,The Sisters Brothers,38000000,3143056,13143056,-24856944,-0.018912606017961117,-11.090144114517845
48,2006-03-31,Basic Instinct 2,70000000,5946136,35417162,-34582838,-0.00976442945936775,-10.772350985581225
36,2008-03-14,Funny Games,15000000,1294640,8200127,-6799873,-0.008292399617713237,-10.586232466168202
36,2010-04-16,The Perfect Game,12500000,1089445,3931367,-8568633,-0.02179555610046073,-10.473732037872495
67,2007-08-17,The Last Legion,67000000,5932060,25357771,-41642229,-0.01642188069290475,-10.294558719905059
6,2006-10-13,Infamous,13000000,1151330,2613717,-10386283,-0.039737595921823216,-10.291289204658959
4,2006-03-17,Find Me Guilty,13000000,1173673,2898225,-10101775,-0.03485504058518576,-10.076338980278152
78,2017-04-21,The Promise,90000000,8224288,10551417,-79448583,-0.07529660044712477,-9.943196541755347
28,2007-07-20,Sunshine,40000000,3688560,32030610,-7969390,-0.0024880543954673355,-9.844340338777192
9,2003-10-17,Veronica Guerin,17000000,1569918,9438074,-7561926,-0.008012149512707784,-9.828591047430503
87,2006-05-05,The Proposition,20000000,1903434,5313608,-14686392,-0.027639208613055386,-9.507325181750458
9,2006-01-06,BloodRayne,25000000,2405420,3711633,-21288367,-0.057355797300002447,-9.393195367129232
8,2017-09-01,Tulip Fever,25000000,2455635,6792768,-18207232,-0.026803847857014992,-9.180666100621632
32,2011-03-11,Kill the Irishman,12000000,1188194,1188194,-10811806,-0.09099360878779054,-9.099360878779054
80,2008-10-03,How to Lose Friends & Alienate People,28000000,2775593,12031443,-15968557,-0.013272353947901345,-9.087934362134506
94,2003-05-02,Owning Mahowny,10000000,1011054,1011054,-8988946,-0.08890668549849959,-8.89066854984996
23,2007-11-16,Love in the Time of Cholera,45000000,4617608,31077418,-13922582,-0.004479967415568435,-8.745305361563823
95,2005-08-17,Supercross,30000000,3102550,3252550,-26747450,-0.082235323054219,-8.669465439718941
74,2005-12-21,The White Countess,16000000,1669971,2814566,-13185434,-0.04684713025027659,-8.581004700081618
46,2007-05-04,Lucky You,55000000,5755286,6521829,-48478171,-0.0743321712360137,-8.556432121705159
35,2007-08-24,September Dawn,10100000,1066555,1066555,-9033445,-0.08469741363548997,-8.469741363548996
93,2014-03-21,50 to 1,10000000,1069454,1069454,-8930546,-0.08350565802736723,-8.350565802736723
86,2002-11-15,Ararat,15500000,1693000,1693000,-13807000,-0.0815534554046072,-8.15534554046072
35,2017-02-03,The Comedian,15000000,1658706,1658706,-13341294,-0.08043193911398402,-8.043193911398403
53,2011-12-13,George Balanchine\'s The Nutcracker,19000000,2119994,2119994,-16880006,-0.07962289515913723,-7.962289515913724
85,2015-11-13,My All-American,20000000,2246000,2246000,-17754000,-0.07904719501335708,-7.904719501335708
55,2003-08-01,Gigli,54000000,6087542,7126002,-46873998,-0.06577881678955465,-7.870575348802522
47,2015-01-16,Blackhat,70000000,8005980,19665004,-50334996,-0.025596229728709945,-7.743464260465302
94,2003-04-02,The Good Thief,30000000,3517797,6460758,-23539242,-0.036434180014171716,-7.528064581327461
84,2004-03-19,Bon Voyage,20000000,2353728,8361736,-11638264,-0.013918478172475188,-7.49715855018082
96,2009-06-26,ChÃ©ri,23000000,2715657,2715657,-20284343,-0.07469405377777827,-7.469405377777827
7,2005-08-26,Undiscovered,9000000,1069318,1069318,-7930682,-0.07416579539482175,-7.416579539482175
26,2001-04-06,Just Visiting,40000000,4777007,16172200,-23827800,-0.014733802451119821,-7.373443873957061
47,2016-04-22,A Hologram for the King,35000000,4212494,11846010,-23153990,-0.01954581331604481,-7.30861717547847
46,2014-05-09,Legends of Oz: Dorothyâs Return,70000000,8462347,20107933,-49892067,-0.02481213111263102,-7.271936851561393
25,2002-11-27,Extreme Ops,40000000,4835968,12624471,-27375529,-0.021684495928581876,-7.271353325745745
6,2018-04-13,Sgt. Stubby: An American Hero,25000000,3054285,3645957,-21354043,-0.05856910270746473,-7.185221745842316
3,2019-06-07,Dark Phoenix,350000000,42762350,149762350,-200237650,-0.013370359773334221,-7.184770013808876
5,2008-10-03,Blindness,25000000,3073392,20052958,-4947042,-0.0024669886607252656,-7.1343349628033135
44,2004-07-30,Thunderbirds,55000000,6768055,28231444,-26768556,-0.009481823175605187,-7.126411502270593
82,2017-11-03,LBJ,20000000,2468683,2507181,-17492819,-0.06977086616403044,-7.101485690953435
81,2018-10-26,Suspiria,20000000,2483472,7034615,-12965385,-0.018430838077137128,-7.053241590805131
50,2013-10-18,The Fifth Estate,26000000,3254172,6154172,-19845828,-0.032247762980950154,-6.989743627564861
22,2010-08-06,Flipped,14000000,1755212,4289993,-9710007,-0.02263408588312382,-6.976244465056073
93,2004-12-29,The Merchant of Venice,30000000,3765585,18765585,-11234415,-0.005986711845114341,-6.9668896067941635
30,2008-03-07,Married Life,12000000,1506998,2975188,-9024812,-0.030333585642319073,-6.962850647446115
72,2014-05-16,The Immigrant,16000000,2013456,7585011,-8414989,-0.011094234405197302,-6.946535707758203
91,2017-06-02,Churchill,10000000,1279681,7582196,-2417804,-0.0031887912156319887,-6.8144475068395955
48,2015-01-23,Mortdecai,60000000,7696134,30396134,-29603866,-0.00973935237948352,-6.796122052968412
90,2012-07-27,Killer Joe,10000000,1291645,4659110,-5340890,-0.011463326686856503,-6.7420653507736255
100,2004-01-30,The Big Bounce,50000000,6471394,6626115,-43373885,-0.06545899822143142,-6.7263105908866
81,2006-05-12,Goal! The Dream Begins,33000000,4283255,27610873,-5389127,-0.0019518133309294494,-6.704421053614599
92,2007-09-21,The Assassination of Jesse James by the Coward Robert Ford,30000000,3909149,15313631,-14686369,-0.009590389764517638,-6.674304560915943
47,2014-06-13,The Rover,8500000,1109199,3180252,-5319748,-0.016727441724743827,-6.663187579505571
7,2010-12-25,L'illusionniste,17000000,2231474,8609949,-8390051,-0.009744600113194632,-6.618282803205415
43,2006-09-22,All the King's Men,55000000,7221458,9521458,-45478542,-0.04776426257407216,-6.6161905255143765
15,2008-06-06,And When Did You Last See Your Father?,8000000,1071240,2476491,-5523509,-0.022303771748009585,-6.46798103132818
65,2010-12-03,The Warrior's Way,42000000,5666340,8514325,-33485675,-0.03932863145346226,-6.412191996950413
19,2016-11-23,Rules Donât Apply,26700000,3652206,3871448,-22828552,-0.05896644356323526,-6.310650056431647
33,2014-02-06,The Interview,44000000,6105175,12342632,-31657368,-0.025648798408637638,-6.207000618327894
90,2017-09-22,Stronger,30000000,4211129,8786752,-21213248,-0.024142308784861576,-6.123980291271058
94,2011-03-11,Mars Needs Moms,150000000,21392758,39549758,-110450242,-0.027926907163376327,-6.011718638615928
53,2007-03-23,Namastey London,8400000,1207007,6831069,-1568931,-0.002296757652425997,-5.959363118855151
24,2015-11-25,Victor Frankenstein,40000000,5775076,31124367,-8875633,-0.0028516669913319042,-5.926315774891966
13,2018-04-06,Lean on Pete,8000000,1163056,2455027,-5544973,-0.02258619966297723,-5.8784306172703635
44,2011-01-28,Biutiful,35000000,5101237,24687524,-10312476,-0.0041772014074801505,-5.861080949581445
32,2008-07-18,Transsiberian,15000000,2203641,6379575,-8620425,-0.013512538060920986,-5.806916371586842
49,2014-10-31,Before I Go to Sleep,22000000,3242457,19563579,-2436421,-0.0012453861330792284,-5.784978181669024
88,2010-04-16,The Joneses,10000000,1475746,3541565,-6458435,-0.018236104659945532,-5.776233850540676
28,2002-06-14,The Dangerous Lives of Altar Boys,12000000,1779284,1779284,-10220716,-0.05744285903768034,-5.7442859037680325
52,2004-02-20,Against the Ropes,39000000,5881504,6429865,-32570135,-0.05065446164110755,-5.630956979711312
70,2014-11-14,The Homesman,16000000,2429989,8217571,-7782429,-0.009470473695937643,-5.5843919458071625
